kdrama_name,tags
Beautiful Gong Shim, male chases female first
Beautiful Gong Shim, love square
Beautiful Gong Shim, poor female lead
Beautiful Gong Shim, smart male lead
Beautiful Gong Shim, sassy female lead
Beautiful Gong Shim, poor male lead 
"Beautiful Love, Wonderful Life",family relationship
"Beautiful Love, Wonderful Life", hateful motherinlaw
"Beautiful Love, Wonderful Life", multiple mains
"Beautiful Love, Wonderful Life", motherdaughter relationship
"Beautiful Love, Wonderful Life", marriage of convenience
"Beautiful Love, Wonderful Life", multiple couples
"Beautiful Love, Wonderful Life", time skip
"Beautiful Love, Wonderful Life", evil motherinlaw
"Beautiful Love, Wonderful Life", clingy male lead
"Beautiful Love, Wonderful Life", unrequited love 
Beautiful World,school bullying
Beautiful World, coma
Beautiful World, tearjerker
Beautiful World, student
Beautiful World, psychopath
Beautiful World, high school
Beautiful World, investigation
Beautiful World, suspense
Beautiful World, strong female lead
Beautiful World, violence 
Because This Is My First Life,contract relationship
Because This Is My First Life, marriage of convenience
Because This Is My First Life, eccentric male lead
Because This Is My First Life, multiple couples
Because This Is My First Life, cohabitation
Because This Is My First Life, nerdy male lead
Because This Is My First Life, sismance
Because This Is My First Life, calm male lead
Because This Is My First Life, cat
Because This Is My First Life, multiple mains 
Becky's Back,miniseries
Becky's Back, leave home
Becky's Back, single mother
Becky's Back, childhood sweethearts
Becky's Back, longlost father
Becky's Back, return to hometown
Becky's Back, teenage pregnancy
Becky's Back, martial arts 
Becoming Witch,female centered plot
Becoming Witch, married female lead
Becoming Witch, housewife female lead
Becoming Witch, married life
Becoming Witch, extramarital affair
Becoming Witch, rich family
Becoming Witch, black comedy
Becoming Witch, infidelity
Becoming Witch, divorce
Becoming Witch, revenge 
Behind the White Tower,adapted from a novel
Behind the White Tower, hospital setting
Behind the White Tower, surgeon male lead
Behind the White Tower, doctor male lead 
Bel Ami,sassy female lead
Bel Ami, eccentric female lead
Bel Ami, beauty
Bel Ami, female chases male first
Bel Ami, unrequited love
Bel Ami, love triangle
Bel Ami, arrogant male lead
Bel Ami, adapted from a manhwa 
Best Chicken,best friends relationship
Best Chicken, restaurant setting
Best Chicken, restaurateur male lead
Best Chicken, webtoon artist male lead
Best Chicken, brothers relationship
Best Chicken, chasing a dream
Best Chicken, absent father
Best Chicken, grandpagranddaughter relationship
Best Chicken, secret crush
Best Chicken, nice male lead 
Beyond Evil,determined male lead
Beyond Evil, investigation
Beyond Evil, suspense
Beyond Evil, murder
Beyond Evil, trauma
Beyond Evil, psychological manipulation
Beyond Evil, smart male lead
Beyond Evil, death
Beyond Evil, corruption
Beyond Evil, motherson relationship 
Beyond the Clouds,wrongfully accused
Beyond the Clouds, forbidden love
Beyond the Clouds, revenge
Beyond the Clouds, exconvict
Beyond the Clouds, rich female lead
Beyond the Clouds, nice female lead
Beyond the Clouds, poor male lead
Beyond the Clouds, swindler male lead
Beyond the Clouds, secretary supporting character
Beyond the Clouds, melodrama 
Big,body swap
Big, studentteacher relationship
Big, amnesia
Big, older womanyounger man
Big, marriage
Big, love triangle
Big, family
Big, family secret
Big, rich male lead
Big, orphan male lead 
Big Issue,paparazzi
Big Issue, badass female lead
Big Issue, photography
Big Issue, strong female lead
Big Issue, investigation
Big Issue, bossemployee relationship
Big Issue, exspouse relationship
Big Issue, prosecutor supporting character
Big Issue, photographer
Big Issue, cold female lead 
Big Man,cold female lead
Big Man, secondary couple
Big Man, naive male lead
Big Man, orphan male lead
Big Man, power struggle
Big Man, deception
Big Man, betrayal
Big Man, strong female lead
Big Man, rags to riches
Big Man, revenge 
Big Mouth,lawyer male lead
Big Mouth, death
Big Mouth, suspense
Big Mouth, murder
Big Mouth, brave female lead
Big Mouth, investigation
Big Mouth, assault
Big Mouth, hardship
Big Mouth, workplace abuse
Big Mouth, greed 
"Billie Jean, Look at Me",
Birdie Buddy,successful female lead
Birdie Buddy, hardworking female lead
Birdie Buddy, golf
Birdie Buddy, betrayal
Birdie Buddy, preproduced
Birdie Buddy, adapted from a manhwa
Birdie Buddy, love triangle 
Birth of a Beauty,makeover
Birth of a Beauty, plastic surgery
Birth of a Beauty, rich male lead
Birth of a Beauty, transformation
Birth of a Beauty, revenge
Birth of a Beauty, cohabitation
Birth of a Beauty, food
Birth of a Beauty, hidden identity
Birth of a Beauty, misunderstanding
Birth of a Beauty, amnesia 
Birthcare Center,motherhood
Birthcare Center, childbirth
Birthcare Center, strong female lead
Birthcare Center, older womanyounger man
Birthcare Center, sismance
Birthcare Center, black comedy
Birthcare Center, hardworking female lead
Birthcare Center, career woman
Birthcare Center, independent female lead
Birthcare Center, multiple mains 
Bizarre Bunch,multiple mains
Bizarre Bunch, family secret
Bizarre Bunch, multiple couples
Bizarre Bunch, pregnancy
Bizarre Bunch, family 
Black,ghostseeing female lead
Black, strong male lead
Black, badass male lead
Black, ghost
Black, murder
Black, double identity
Black, child abuse
Black, flashback to past
Black, tough male lead
Black, interspecies romance 
Black Dog: Being A Teacher,school problems
Black Dog: Being A Teacher, smart female lead
Black Dog: Being A Teacher, teamwork
Black Dog: Being A Teacher, strong female lead
Black Dog: Being A Teacher, hardworking female lead
Black Dog: Being A Teacher, high school
Black Dog: Being A Teacher, student
Black Dog: Being A Teacher, social problems
Black Dog: Being A Teacher, sismance
Black Dog: Being A Teacher, character development 
Black Knight,future
Black Knight, miniseries
Black Knight, dystopia
Black Knight, post apocalyptic
Black Knight, adapted from a webtoon 
Black Knight: The Man Who Guards Me,childhood friends relationship
Black Knight: The Man Who Guards Me, seaside setting
Black Knight: The Man Who Guards Me, predjama castle
Black Knight: The Man Who Guards Me, sworn enemy
Black Knight: The Man Who Guards Me, reincarnated lovers
Black Knight: The Man Who Guards Me, healing
Black Knight: The Man Who Guards Me, immortality
Black Knight: The Man Who Guards Me, special power
